period,year,month,carrier,technology,lines
2018.04,2018,4,SK브로드밴드,HFC,422310
2018.04,2018,4,SK브로드밴드,FTTH,902777
2018.04,2018,4,SKT(재판매),xDSL,130438
2018.04,2018,4,SKT(재판매),LAN,1345519
2018.04,2018,4,SKT(재판매),HFC,401661
2018.04,2018,4,SKT(재판매),FTTH,862695
2018.04,2018,4,LG U+,xDSL,0
2018.04,2018,4,LG U+,LAN,2013881
2018.04,2018,4,LG U+,HFC,918825
2018.04,2018,4,LG U+,FTTH,970722
2018.04,2018,4,종합유선,xDSL,21865
2018.04,2018,4,종합유선,LAN,941555
2018.04,2018,4,종합유선,HFC,2058204
2018.04,2018,4,종합유선,FTTH,149055
2018.04,2018,4,기타,xDSL,1038
2018.04,2018,4,기타,LAN,11008
2018.04,2018,4,기타,HFC,3102
2018.04,2018,4,기타,FTTH,3072
2018.05,2018,5,합계,xDSL,785272
2018.05,2018,5,합계,LAN,8535446
2018.05,2018,5,합계,HFC,3791050
2018.05,2018,5,합계,FTTH,7844548
2018.05,2018,5,KT,xDSL,540274
2018.05,2018,5,KT,LAN,3188588
2018.05,2018,5,KT,HFC,0
2018.05,2018,5,KT,FTTH,4934005
2018.05,2018,5,SK브로드밴드,xDSL,93800
2018.05,2018,5,SK브로드밴드,LAN,1010207
2018.05,2018,5,SK브로드밴드,HFC,415977
2018.05,2018,5,SK브로드밴드,FTTH,906259
2018.05,2018,5,SKT(재판매),xDSL,128555
2018.05,2018,5,SKT(재판매),LAN,1356479
2018.05,2018,5,SKT(재판매),HFC,400566
2018.05,2018,5,SKT(재판매),FTTH,869107
2018.05,2018,5,LG U+,xDSL,0
2018.05,2018,5,LG U+,LAN,2023054
2018.05,2018,5,LG U+,HFC,920252
2018.05,2018,5,LG U+,FTTH,981838
2018.05,2018,5,종합유선,xDSL,21608
2018.05,2018,5,종합유선,LAN,946455
2018.05,2018,5,종합유선,HFC,2051156
2018.05,2018,5,종합유선,FTTH,150263
2018.05,2018,5,기타,xDSL,1035
2018.05,2018,5,기타,LAN,10663
2018.05,2018,5,기타,HFC,3099
2018.05,2018,5,기타,FTTH,3076
2018.06,2018,6,합계,xDSL,767908
2018.06,2018,6,합계,LAN,8562625
2018.06,2018,6,합계,HFC,3778957
2018.06,2018,6,합계,FTTH,7873811
2018.06,2018,6,KT,xDSL,526797
2018.06,2018,6,KT,LAN,3188845
2018.06,2018,6,KT,HFC,0
2018.06,2018,6,KT,FTTH,4943541
2018.06,2018,6,SK브로드밴드,xDSL,92167
2018.06,2018,6,SK브로드밴드,LAN,1013719
2018.06,2018,6,SK브로드밴드,HFC,411127
2018.06,2018,6,SK브로드밴드,FTTH,908944
2018.06,2018,6,SKT(재판매),xDSL,126855
2018.06,2018,6,SKT(재판매),LAN,1366478
2018.06,2018,6,SKT(재판매),HFC,399706
2018.06,2018,6,SKT(재판매),FTTH,874492
2018.06,2018,6,LG U+,xDSL,0
2018.06,2018,6,LG U+,LAN,2032765
2018.06,2018,6,LG U+,HFC,921488
2018.06,2018,6,LG U+,FTTH,993337
2018.06,2018,6,종합유선,xDSL,21293
2018.06,2018,6,종합유선,LAN,950016
2018.06,2018,6,종합유선,HFC,2043518
2018.06,2018,6,종합유선,FTTH,150879
2018.06,2018,6,기타,xDSL,796
2018.06,2018,6,기타,LAN,10802
2018.06,2018,6,기타,HFC,3118
2018.06,2018,6,기타,FTTH,2618
